                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1174,                 3.2952,                  2.879,                 1.3578,                0.04803,                0.65328,                0.15952,                0.06504,                0.04757,                0.64702,                0.16695,                0.07156,                 1.8073,                 3.1218,                 3.1932,                 1.2464,                0.00032,                0.00032,                0.00032
                      2,                 1.6781,                 2.3778,                 1.2646,                 1.0969,                0.04825,                 0.6563,                0.21838,                0.10498,                0.04929,                0.67034,                0.22128,                0.09807,                 1.8233,                 3.2854,                 2.8146,                 1.2228,             0.00065996,             0.00065996,             0.00065996
                      3,                 1.6277,                 2.2762,                 1.1344,                 1.0684,                 0.0601,                0.81736,                 0.5743,                0.21862,                0.05852,                0.79598,                 0.5619,                0.20511,                 1.8915,                 2.8054,                 2.6814,                 1.2967,             0.00099976,             0.00099976,             0.00099976
                      4,                 1.6216,                 2.2761,                 1.0786,                  1.081,                0.86076,                0.34166,                0.62414,                0.31974,                0.85659,                0.32837,                0.60176,                0.27119,                 1.7493,                 2.9436,                 2.3013,                 1.2164,              0.0013393,              0.0013393,              0.0013393
                      5,                 1.5952,                 2.2272,                 1.0438,                 1.0675,                0.88559,                0.52973,                0.74425,                0.36286,                0.86935,                0.52002,                0.71711,                0.31094,                 1.7791,                 3.1316,                 2.1625,                 1.1834,              0.0016784,              0.0016784,              0.0016784
                      6,                 1.6048,                 2.2117,                 1.0188,                 1.0778,                0.77586,                0.66062,                 0.7528,                0.37104,                0.76179,                0.63903,                 0.7203,                0.30544,                 1.8004,                 3.2039,                 1.4479,                 1.3094,              0.0019969,              0.0019969,              0.0019969
                      7,                 1.5974,                  2.205,                 1.0082,                 1.0724,                0.68017,                0.65975,                0.69062,                  0.323,                0.65266,                0.62953,                0.63905,                0.24698,                 1.8497,                  3.185,                  1.399,                 1.3289,              0.0019956,              0.0019956,              0.0019956
                      8,                 1.5866,                  2.196,                0.97069,                 1.0618,                0.77407,                0.70509,                0.78157,                0.38607,                0.76755,                0.68847,                0.75962,                0.33374,                 1.7008,                 2.6774,                 1.3083,                 1.1991,               0.001994,               0.001994,               0.001994
                      9,                  1.614,                 2.1865,                0.99555,                 1.0881,                0.76883,                 0.7228,                0.79115,                0.41183,                0.75661,                0.69495,                0.75751,                0.34132,                 1.7372,                 2.7314,                 1.1267,                 1.2586,              0.0019922,              0.0019922,              0.0019922
                     10,                 1.5799,                 2.1772,                0.94251,                 1.0669,                0.77615,                0.69927,                0.78413,                0.39082,                0.77066,                 0.6861,                0.76784,                0.35074,                 1.7916,                  2.796,                 1.0978,                 1.3042,              0.0019901,              0.0019901,              0.0019901
                     11,                 1.5779,                 2.1671,                0.93843,                 1.0774,                0.76763,                0.74883,                 0.8077,                0.43051,                0.75764,                0.73251,                0.78752,                0.37803,                 1.6735,                 2.6497,                 1.1274,                 1.2245,              0.0019878,              0.0019878,              0.0019878
                     12,                 1.5693,                 2.1441,                0.93303,                 1.0717,                0.77628,                0.73208,                0.80827,                0.43474,                0.77037,                0.70056,                0.78329,                0.36506,                  1.713,                 2.6531,                 1.2051,                 1.2833,              0.0019853,              0.0019853,              0.0019853
                     13,                 1.5748,                 2.1647,                0.92811,                 1.0802,                0.78665,                0.70963,                0.79373,                0.41168,                0.77419,                0.69495,                0.76853,                0.34582,                 1.6918,                 2.5669,                 1.0787,                 1.2409,              0.0019825,              0.0019825,              0.0019825
                     14,                 1.5507,                 2.1115,                0.88804,                 1.0696,                0.79071,                0.76424,                0.84032,                0.47573,                0.78554,                0.75992,                 0.8323,                0.42363,                 1.5698,                 2.3461,                 1.1814,                 1.2027,              0.0019794,              0.0019794,              0.0019794
                     15,                 1.5516,                 2.1109,                0.91457,                 1.0599,                0.79116,                0.71179,                0.79953,                0.43049,                0.77843,                0.69516,                0.77316,                0.36095,                 1.6768,                 2.4005,                  1.084,                 1.2337,              0.0019762,              0.0019762,              0.0019762
                     16,                 1.5666,                 2.1157,                0.89132,                 1.0644,                0.78306,                0.73057,                0.81566,                0.43897,                0.77155,                0.71308,                0.78942,                0.37193,                 1.6423,                 2.4305,                 1.2032,                  1.223,              0.0019726,              0.0019726,              0.0019726
                     17,                 1.5246,                 2.0937,                0.88281,                 1.0534,                0.79323,                0.73575,                0.81948,                0.43543,                0.78048,                0.71978,                0.79789,                0.37551,                 1.7154,                 2.4998,                 1.2483,                 1.2648,              0.0019689,              0.0019689,              0.0019689
                     18,                 1.5369,                 2.0802,                0.89223,                 1.0581,                0.80555,                0.75065,                0.83819,                0.46688,                0.80107,                0.74266,                0.82391,                0.40539,                 1.6197,                 2.3353,                 1.1179,                  1.212,              0.0019649,              0.0019649,              0.0019649
                     19,                 1.5271,                 2.0694,                0.84613,                 1.0498,                0.79966,                 0.7747,                 0.8479,                0.47714,                0.78696,                 0.7624,                0.83023,                0.43146,                   1.59,                 2.3217,                0.99542,                   1.19,              0.0019607,              0.0019607,              0.0019607
                     20,                 1.5294,                 2.0717,                0.87138,                 1.0636,                0.80229,                0.76274,                 0.8432,                0.46448,                0.79716,                 0.7568,                0.83249,                0.42943,                 1.5748,                 2.2649,                0.96144,                 1.1926,              0.0019562,              0.0019562,              0.0019562
                     21,                 1.5327,                 2.0723,                0.85507,                 1.0571,                0.79024,                 0.7405,                0.82681,                0.47092,                0.77383,                0.72389,                0.80406,                0.41753,                 1.5886,                 2.3683,                 1.0272,                 1.1966,              0.0019515,              0.0019515,              0.0019515
                     22,                  1.512,                 2.0575,                0.84933,                 1.0555,                0.80758,                0.76986,                 0.8402,                0.46404,                0.80287,                0.74676,                0.81441,                0.40688,                 1.5778,                 2.3146,                 1.0957,                 1.1791,              0.0019466,              0.0019466,              0.0019466
                     23,                 1.5251,                 2.0695,                0.85185,                 1.0576,                0.80409,                 0.7459,                0.83007,                0.46075,                0.79834,                0.73079,                0.81437,                0.41267,                 1.5956,                 2.2708,                 1.0091,                 1.1992,              0.0019415,              0.0019415,              0.0019415
                     24,                 1.5294,                 2.0614,                 0.8492,                 1.0589,                0.80338,                0.75773,                 0.8419,                 0.4723,                0.79701,                0.74171,                0.82476,                 0.4219,                  1.542,                 2.2916,                0.96319,                 1.1749,              0.0019361,              0.0019361,              0.0019361
                     25,                 1.5133,                 2.0525,                0.83941,                 1.0699,                0.79147,                 0.7513,                0.82071,                0.45212,                0.78799,                0.73983,                 0.8062,                0.41379,                 1.6108,                 2.3384,                0.99052,                 1.2013,              0.0019305,              0.0019305,              0.0019305
                     26,                 1.4944,                  2.033,                0.82918,                 1.0432,                0.82467,                0.74329,                0.83987,                0.47558,                0.81639,                0.72733,                0.82248,                0.41776,                 1.5998,                 2.3849,                0.96904,                 1.2158,              0.0019246,              0.0019246,              0.0019246
                     27,                 1.5243,                 2.0392,                0.84706,                 1.0647,                0.81155,                0.77375,                0.85552,                0.47415,                0.81243,                0.75834,                0.84335,                0.42213,                 1.6218,                 2.3194,                0.92965,                 1.2195,              0.0019186,              0.0019186,              0.0019186
                     28,                 1.4985,                 2.0197,                0.83839,                 1.0542,                0.82522,                0.76339,                0.84875,                0.46153,                0.81568,                0.74266,                 0.8292,                  0.406,                 1.6237,                 2.3519,                  1.009,                 1.2076,              0.0019123,              0.0019123,              0.0019123
                     29,                 1.5093,                 2.0488,                0.84006,                 1.0458,                0.80478,                0.77828,                0.85337,                0.48602,                0.80057,                0.76179,                0.83858,                0.43077,                 1.4988,                 2.2219,                0.96948,                 1.1629,              0.0019058,              0.0019058,              0.0019058
                     30,                  1.498,                 2.0302,                0.82635,                 1.0506,                0.78475,                0.76878,                0.83739,                0.45523,                0.77385,                0.75475,                0.81508,                0.40718,                 1.5858,                 2.3317,                0.98581,                 1.1888,               0.001899,               0.001899,               0.001899
                     31,                 1.5109,                  2.012,                0.83383,                   1.05,                0.82397,                 0.7677,                0.85431,                0.48905,                0.81566,                0.75847,                0.83948,                0.43979,                 1.5431,                 2.3444,                0.93653,                 1.1791,              0.0018921,              0.0018921,              0.0018921
                     32,                 1.4941,                 2.0199,                 0.8183,                 1.0435,                0.79392,                0.76601,                0.84159,                0.46792,                0.79986,                0.73336,                0.81775,                0.40405,                 1.5872,                 2.3484,                0.98313,                 1.1846,              0.0018849,              0.0018849,              0.0018849
