                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9963,                 2.8509,                 2.6513,                 1.2632,                0.62283,                0.56088,                0.56276,                0.23316,                0.59043,                0.52504,                0.51581,                0.18913,                 2.0565,                 3.2909,                 3.9231,                 1.3741,                0.00064,                0.00064,                0.00064
                      2,                 1.6585,                 2.3258,                 1.0934,                 1.1127,                0.66378,                0.64184,                0.66957,                0.32059,                0.65505,                0.63925,                0.66232,                0.31185,                  1.851,                 3.0306,                 1.5657,                 1.4212,              0.0012999,              0.0012999,              0.0012999
                      3,                 1.6698,                 2.3921,                 1.0365,                 1.1245,                0.61798,                0.56066,                0.59366,                0.27943,                0.58621,                0.55397,                 0.5604,                0.22583,                  1.959,                 4.3363,                 3.4099,                 1.4376,              0.0019595,              0.0019595,              0.0019595
                      4,                 1.6591,                 2.3513,                 1.0293,                 1.1284,                0.74713,                0.72906,                0.78978,                0.42433,                 0.7385,                0.70664,                0.76853,                0.36861,                 1.6083,                 3.2001,                 1.6846,                  1.263,              0.0019989,              0.0019989,              0.0019989
                      5,                 1.5857,                 2.2131,                0.95171,                 1.0963,                0.74857,                0.71503,                0.77468,                0.39276,                0.76116,                0.67314,                 0.7452,                0.34343,                  1.683,                 2.5976,                 1.3734,                  1.249,               0.001998,               0.001998,               0.001998
                      6,                 1.5936,                 2.1856,                0.94472,                 1.0994,                0.74297,                0.71891,                0.77954,                0.41375,                0.74077,                0.70164,                0.75562,                0.36492,                 1.7373,                 2.5575,                 1.5804,                 1.2954,              0.0019969,              0.0019969,              0.0019969
                      7,                 1.6245,                 2.2481,                0.93163,                 1.1057,                0.73832,                0.72085,                0.78072,                0.39977,                0.73177,                0.70265,                 0.7581,                0.34462,                 1.6043,                 2.6246,                 1.4159,                 1.2512,              0.0019956,              0.0019956,              0.0019956
                      8,                 1.5865,                 2.1896,                0.93941,                 1.0956,                0.71653,                0.70186,                0.75055,                0.39987,                0.70742,                0.69738,                0.73989,                0.35903,                 2.0331,                 3.0124,                 1.7079,                 1.4337,               0.001994,               0.001994,               0.001994
                      9,                  1.578,                 2.1374,                0.93231,                 1.0892,                0.78016,                 0.7447,                0.81635,                0.45335,                0.77292,                0.73779,                0.80556,                  0.411,                 1.6006,                 2.4369,                 1.3245,                 1.2182,              0.0019922,              0.0019922,              0.0019922
                     10,                  1.565,                 2.1317,                0.89711,                 1.0926,                0.79412,                0.75693,                0.83507,                0.46619,                0.78976,                0.74936,                0.82505,                0.42069,                 1.4978,                  2.365,                 1.0341,                 1.1749,              0.0019901,              0.0019901,              0.0019901
                     11,                 1.5456,                 2.1095,                0.88114,                  1.092,                0.78687,                0.77461,                0.84283,                0.47095,                0.78134,                 0.7487,                0.82554,                0.40752,                 1.5014,                 2.3702,                 1.0721,                 1.1914,              0.0019878,              0.0019878,              0.0019878
                     12,                 1.5458,                 2.1266,                0.89825,                 1.0799,                0.78572,                0.75519,                0.83103,                0.44797,                0.77616,                0.73705,                0.81467,                0.39152,                 1.6807,                 2.4745,                 1.1264,                 1.2993,              0.0019853,              0.0019853,              0.0019853
                     13,                 1.5664,                 2.1307,                0.88646,                 1.0916,                0.81509,                0.74439,                0.83833,                0.44533,                0.80528,                0.72408,                0.80936,                0.36513,                 1.6469,                 2.5262,                 1.0857,                 1.2362,              0.0019825,              0.0019825,              0.0019825
                     14,                  1.554,                 2.1255,                0.85997,                 1.0916,                0.80876,                0.76599,                0.84662,                0.46192,                0.80459,                0.75712,                0.83809,                 0.4348,                 1.6207,                 2.5248,                0.99835,                 1.2471,              0.0019794,              0.0019794,              0.0019794
                     15,                 1.5823,                  2.166,                0.86578,                 1.0915,                0.79624,                0.78605,                0.84806,                0.47091,                0.78677,                0.76209,                0.82793,                 0.4117,                 1.5561,                 2.4048,                0.97656,                 1.2075,              0.0019762,              0.0019762,              0.0019762
                     16,                 1.5526,                 2.0902,                0.87104,                 1.0728,                0.79773,                0.76857,                0.84449,                0.46994,                0.79732,                0.74892,                0.82519,                0.40892,                 1.5864,                 2.4212,                0.94934,                 1.2223,              0.0019726,              0.0019726,              0.0019726
                     17,                 1.5161,                 2.0579,                0.85817,                   1.06,                0.80884,                0.75818,                0.84237,                   0.46,                0.80246,                0.74439,                0.82761,                0.40202,                 1.5839,                 2.4491,                 1.1468,                 1.2173,              0.0019689,              0.0019689,              0.0019689
                     18,                 1.5408,                 2.0573,                0.86541,                 1.0758,                0.80707,                0.79023,                0.85764,                0.48169,                 0.7989,                0.76932,                0.83705,                0.41794,                 1.5792,                 2.3733,                0.98367,                 1.2409,              0.0019649,              0.0019649,              0.0019649
                     19,                 1.5234,                 2.0574,                0.84934,                 1.0687,                0.80049,                0.77029,                0.84805,                0.47124,                0.79683,                 0.7513,                0.83352,                 0.4163,                 1.5362,                 2.3265,                 1.0038,                 1.2046,              0.0019607,              0.0019607,              0.0019607
                     20,                 1.4941,                 2.0193,                0.82732,                 1.0583,                0.78719,                 0.7834,                0.84517,                0.46614,                0.77855,                0.76886,                0.83033,                 0.4163,                 1.6342,                 2.4275,                 0.9984,                 1.2129,              0.0019562,              0.0019562,              0.0019562
                     21,                 1.5342,                 2.0664,                0.83515,                 1.0751,                0.80337,                0.77763,                0.85581,                0.47932,                0.80413,                0.76036,                0.84089,                0.41866,                 1.5674,                 2.3281,                0.94985,                  1.212,              0.0019515,              0.0019515,              0.0019515
                     22,                 1.5126,                 2.0311,                0.82465,                 1.0659,                0.81496,                0.76382,                0.85387,                0.47931,                  0.808,                0.74953,                 0.8383,                0.42317,                 1.5633,                 2.2886,                 1.0707,                 1.2086,              0.0019466,              0.0019466,              0.0019466
                     23,                 1.5235,                 2.0389,                0.83751,                 1.0758,                 0.8185,                0.75842,                0.84549,                0.46457,                0.81406,                0.72992,                0.82401,                0.40059,                 1.7212,                 2.3788,                  1.067,                 1.2788,              0.0019415,              0.0019415,              0.0019415
                     24,                 1.5345,                  2.048,                0.83952,                 1.0815,                0.78673,                0.78206,                0.84677,                 0.4693,                0.78416,                0.76394,                0.83137,                0.42052,                 1.5342,                 2.3198,                0.95262,                  1.192,              0.0019361,              0.0019361,              0.0019361
                     25,                 1.5174,                 2.0588,                0.83726,                 1.0741,                0.81655,                0.77834,                0.85694,                0.48073,                0.80996,                0.75367,                 0.8357,                0.41688,                 1.5203,                 2.2973,                0.98504,                 1.2003,              0.0019305,              0.0019305,              0.0019305
                     26,                 1.5016,                 2.0223,                0.81385,                 1.0631,                0.81602,                0.77288,                0.86363,                0.49241,                0.80867,                0.74916,                0.84406,                0.43939,                 1.5285,                 2.3049,                0.92417,                  1.214,              0.0019246,              0.0019246,              0.0019246
                     27,                 1.5238,                 2.0372,                0.84659,                 1.0886,                0.77994,                0.76468,                 0.8351,                0.44934,                0.76866,                0.74547,                0.81269,                0.38035,                 1.5832,                 2.2877,                0.99889,                  1.217,              0.0019186,              0.0019186,              0.0019186
                     28,                 1.4902,                 2.0286,                0.83238,                 1.0668,                0.80905,                0.77871,                0.85911,                0.48508,                0.79644,                0.75669,                0.83415,                0.41785,                   1.56,                 2.2793,                0.93116,                 1.2123,              0.0019123,              0.0019123,              0.0019123
                     29,                 1.5195,                 2.0329,                0.82878,                 1.0763,                 0.8126,                0.76641,                0.85476,                0.46881,                0.79599,                0.75928,                 0.8401,                0.41234,                 1.5669,                 2.3122,                 1.0143,                 1.2074,              0.0019058,              0.0019058,              0.0019058
